critical_ratio,resonance_ratio,pitch_lambda,orbit_shift,branch,amplitude_ratio_fow_over_zow,eta_sd_zow,eta_maxwell_zow,eta_sd_fow,eta_maxwell_fow,distribution_gap_zow,distribution_gap_fow,orbit_gap_sd,orbit_gap_maxwell,orbit_shift_exceeds_distribution_gap,signed_interaction
0.31,0.5,0.09,0.8,1,1.4645904990562988,1.2113107351202588,1.071351201948552,1.001653767775875,0.8616942346041684,0.13995953317170673,0.13995953317170662,0.20965696734438377,0.20965696734438366,True,-1.1102230246251565e-16
0.31,0.5,0.09,0.9,-1,0.6509824207218537,1.2113107351202588,1.071351201948552,1.4471748233826904,1.3072152902109837,0.13995953317170673,0.13995953317170673,0.23586408826243166,0.23586408826243166,True,0.0
0.31,0.5,0.09,0.9,1,1.5361397914418822,1.2113107351202588,1.071351201948552,0.9754466468578271,0.8354871136861204,0.13995953317170673,0.13995953317170673,0.23586408826243166,0.23586408826243166,True,0.0
0.31,0.5,0.09,1.0,-1,0.6206613966733955,1.2113107351202588,1.071351201948552,1.4733819443007383,1.3334224111290316,0.13995953317170673,0.13995953317170673,0.26207120918047955,0.26207120918047955,True,0.0
0.31,0.5,0.09,1.0,1,1.6111844644435331,1.2113107351202588,1.071351201948552,0.9492395259397792,0.8092799927680725,0.13995953317170673,0.13995953317170673,0.26207120918047955,0.26207120918047955,True,0.0
0.31,0.5,0.18,0.0,-1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
0.31,0.5,0.18,0.0,1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
0.31,0.5,0.18,0.1,-1,0.9557327782234547,1.2113107351202588,1.071351201948552,1.2389186166389705,1.0989590834672638,0.13995953317170673,0.13995953317170673,0.02760788151871174,0.02760788151871174,False,0.0
0.31,0.5,0.18,0.1,1,1.0463175720088103,1.2113107351202588,1.071351201948552,1.183702853601547,1.0437433204298403,0.13995953317170673,0.13995953317170673,0.02760788151871174,0.02760788151871174,False,0.0
0.31,0.5,0.18,0.2,-1,0.9134251433707233,1.2113107351202588,1.071351201948552,1.266526498157682,1.1265669649859753,0.13995953317170673,0.13995953317170673,0.05521576303742326,0.05521576303742326,False,0.0
0.31,0.5,0.18,0.2,1,1.094780461494412,1.2113107351202588,1.071351201948552,1.1560949720828355,1.0161354389111288,0.13995953317170673,0.13995953317170673,0.05521576303742326,0.05521576303742326,False,0.0
0.31,0.5,0.18,0.3,-1,0.8729903499728588,1.2113107351202588,1.071351201948552,1.2941343796763938,1.154174846504687,0.13995953317170673,0.13995953317170673,0.082823644556135,0.082823644556135,False,0.0
0.31,0.5,0.18,0.3,1,1.145488034353518,1.2113107351202588,1.071351201948552,1.1284870905641238,0.9885275573924172,0.13995953317170673,0.13995953317170662,0.082823644556135,0.08282364455613489,False,-1.1102230246251565e-16
0.31,0.5,0.18,0.4,-1,0.8343454925418265,1.2113107351202588,1.071351201948552,1.3217422611951053,1.1817827280233986,0.13995953317170673,0.13995953317170673,0.11043152607484652,0.11043152607484652,False,0.0
0.31,0.5,0.18,0.4,1,1.1985442588699178,1.2113107351202588,1.071351201948552,1.1008792090454123,0.9609196758737055,0.13995953317170673,0.13995953317170673,0.11043152607484652,0.11043152607484652,False,0.0
0.31,0.5,0.18,0.5,-1,0.7974113355852166,1.2113107351202588,1.071351201948552,1.349350142713817,1.2093906095421103,0.13995953317170673,0.13995953317170673,0.13803940759355826,0.13803940759355826,False,0.0
0.31,0.5,0.18,0.5,1,1.2540579188858716,1.2113107351202588,1.071351201948552,1.0732713275267005,0.9333117943549939,0.13995953317170673,0.13995953317170662,0.13803940759355826,0.13803940759355815,False,-1.1102230246251565e-16
0.31,0.5,0.18,0.6,-1,0.7621121511457347,1.2113107351202588,1.071351201948552,1.3769580242325286,1.2369984910608218,0.13995953317170673,0.13995953317170673,0.16564728911226978,0.16564728911226978,True,0.0
0.31,0.5,0.18,0.6,1,1.3121428368470867,1.2113107351202588,1.071351201948552,1.045663446007989,0.9057039128362823,0.13995953317170673,0.13995953317170673,0.16564728911226978,0.16564728911226978,True,0.0
0.31,0.5,0.18,0.7,-1,0.7283755635323664,1.2113107351202588,1.071351201948552,1.4045659057512403,1.2646063725795336,0.13995953317170673,0.13995953317170673,0.19325517063098152,0.19325517063098152,True,0.0
0.31,0.5,0.18,0.7,1,1.3729181071785963,1.2113107351202588,1.071351201948552,1.0180555644892773,0.8780960313175706,0.13995953317170673,0.13995953317170662,0.19325517063098152,0.1932551706309814,True,-1.1102230246251565e-16
0.31,0.5,0.18,0.8,-1,0.6961324009248631,1.2113107351202588,1.071351201948552,1.4321737872699518,1.292214254098245,0.13995953317170673,0.13995953317170673,0.22086305214969304,0.22086305214969304,True,0.0
